action,proto,src_ip,src_port,dest_ip,dest_port,family,behavior,description,sign_source,author,threat_judge,attack_phase,apt_org,extract_date,attack_direction,remarks,cve_number,threat_level,threat_type,id,refer,payload,classtype,sid,rev,metadata
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.LoveBot,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017971,[],None,classtype:DDoS;,id:10017971;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.m,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017973,['9858d65767c0e6d57ca624299931de4c'],None,classtype:DDoS;,id:10017973;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.n,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017975,['a5bf3cede9e56d9575f82961d98f1909'],None,classtype:DDoS;,id:10017975;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.n,['TrojanCommand'],Sure,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017977,[],None,classtype:DDoS;,id:10017977;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.o,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017979,['4ea541e68a5a84bfbca8d51f711e67e5'],None,classtype:DDoS;,id:10017979;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.p,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017981,['c25fd95b68c01b44e13b7e5238feeb7a'],None,classtype:DDoS;,id:10017981;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.q,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017983,['c88cc7f550adad0cdcd81e54017d7817'],None,classtype:DDoS;,id:10017983;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.r,['TrojanCommand'],Sure,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017985,['54ac117cba5972879dcbc63341f14f71'],None,classtype:DDoS;,id:10017985;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.r,['TrojanCommand'],Sure,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017987,['54ac117cba5972879dcbc63341f14f71'],None,classtype:DDoS;,id:10017987;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.s,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017989,['eb47b62c945724db788834f1313ef5a7'],None,classtype:DDoS;,id:10017989;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.t,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017991,[],None,classtype:DDoS;,id:10017991;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.u,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017993,[],None,classtype:DDoS;,id:10017993;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.v,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017995,['0da4a1f3b53098296e2c509a50ade847'],None,classtype:DDoS;,id:10017995;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.v,['TrojanCommand'],Sure,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['DDoS'],10017997,[],None,classtype:DDoS;,id:10017997;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Gafgyt.w,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10017999,['1b0e79e12fa7cdb2d5340a472558395f'],None,classtype:DDoS;,id:10017999;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Mirai.Satori,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10018001,['20deff5786a4769b219c304965559043'],None,classtype:DDoS;,id:10018001;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Mirai.Satori,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10018003,['20deff5786a4769b219c304965559043'],None,classtype:DDoS;,id:10018003;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Linux.Mirai.Satori,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lgz,Threat,Control,,20190308,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['DDoS'],10018005,['20deff5786a4769b219c304965559043'],None,classtype:DDoS;,id:10018005;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['DefaultLoginAttempt'],SERVER-WEBAPP Gitea Password Brute Force attempt,ArtificialExtraction,WQ,Suspicion,Intention,,20180731,{'Source': 'Attacker'; 'Obj': 'Victim'},SERVER-WEBAPP Gitea Password Brute Force attempt,,LowRisk,['Exploits'],130019213,[],None,classtype:Exploits;,id:130019213;,rev:1;,
alert,tcp,any,any,any,80,Dyre,['Spam'],MALWARE-CNC Win.Trojan.Dyre publickey outbound connection,ArtificialExtraction,bala,Suspicion,Invasion,,20180723,{'Source': 'Attacker'; 'Obj': 'Victim'},MALWARE-CNC Win.Trojan.Dyre publickey outbound connection,,LowRisk,['Exploits'],130019215,[],flow:to_server;established; content:"/publickey/ HTTP/1.1|0D 0A|User-Agent: Wget/1.9|0D 0A|Host: "; fast_pattern:only; ),classtype:Exploits;,id:130019215;,rev:3;,metadata:impact_flag red; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['TrojanCommand'],SERVER-APACHE Apache Chunked-Encoding worm attempt,ArtificialExtraction,bala,Threat,Invasion,,20180724,{'Source': 'Attacker'; 'Obj': 'Victim'},SERVER-APACHE Apache Chunked-Encoding worm attempt,,LowRisk,['RAT'],40019217,[],flow:to_server;established; content:"Transfer-Encoding: Chunked"; fast_pattern; nocase; content:"|0D 0A|"; distance:0; byte_test:8;>;2147483647;0;string;hex;relative; content:"|20|"; within:9; ),classtype:RAT;,id:40019217;,rev:1;,metadata:ruleset community; service http;
alert,tcp,any,any,any,any,Unknown,['DownloadTrojans'],POLICY-OTHER NetSupport Manager RAT outbound connection detected,ArtificialExtraction,dc,Suspicion,Prepare,,20180314,{'Source': 'Victim'; 'Obj': 'Attacker'},POLICY-OTHER NetSupport Manager RAT outbound connection detected,,LowRisk,['RAT'],40019219,[],flow:to_server;established; content:"User-Agent|3A| NetSupport Manager/"; fast_pattern; nocase; content:"CMD="; ),classtype:RAT;,id:40019219;,rev:1;,metadata:ruleset community reference:url;www.virustotal.com/#/file/b87ef28981defd135496e25233cc7a47a376a75ddea97fcd4c0927995dd22e47/detection;
alert,udp,any,any,any,1434,Unknown,['OnlineBehavior'],Exploits,ArtificialExtraction,bala,Threat,Invasion,,20180629,{'Source': 'Attacker'; 'Obj': 'Victim'},,,LowRisk,['Exploits'],130019225,[],flow:to_server; content:"|04|"; depth:1; content:"Qh.dll"; fast_pattern:only; content:"sock"; content:"send"; ),classtype:Exploits;,id:130019225;,rev:1;,metadata:impact_flag red; ruleset community;
alert,tcp,any,any,any,80,Pushdo,['AccessC2'],Pushdo,ArtificialExtraction,bala,Threat,Control,,20180703,{'Source': 'Attacker'; 'Obj': 'Victim'},,,LowRisk,['Backdoor'],190019267,[],flow:to_server;established; content:"POST"; http_method; content:!"Referer|3A 20|"; http_header; content:"Accept|3A| */*|0D 0A|Accept-Language|3A| en-us|0D 0A|Content-Type|3A| application/octet-stream|0D 0A|Content-Length|3A| "; depth:93; http_header; content:"User-Agent|3A| Mozilla/4.0 (compatible|3B| MSIE 6.0|3B| Windows NT 5.1|3B| SV1)|0D 0A|Host|3A|"; distance:0; fast_pattern:34;20; http_header; content:"Connection|3A| Keep-Alive|0D 0A|Cache-Control|3A| no-cache|0D 0A|"; distance:0; http_header; ),classtype:Backdoor;,id:190019267;,rev:7;,metadata:policy max-detect-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['DownloadTrojans'],Backdoor,ArtificialExtraction,bala,Suspicion,Intention,,20180628,{'Source': 'Attacker'; 'Obj': 'Victim'},,,LowRisk,['Backdoor'],190019281,[],flow:to_server;established; urilen:50<>150; content:" Java/1."; fast_pattern:only; http_header; content:".php?"; http_uri; pcre:"/\/(?:[^\/]+?\/[a-z]{2;24}|closest\/[a-z0-9]{15;25})\.php\?[ab10]+=[ab10]+&[ab10]+=[ab10]+&[ab10]+=[ab10]+&[ab10]+=[ab10]+&[ab10]+=[ab10]+$/U"; ),classtype:Backdoor;,id:190019281;,rev:2;,metadata:ruleset community; service http;
alert,tcp,any,any,any,80,Zeus,['AccessC2'],Zeus,ArtificialExtraction,bala,Threat,Control,,20180629,{'Source': 'Attacker'; 'Obj': 'Victim'},,,LowRisk,['RAT'],40019291,[],flow:to_server;established; urilen:1; content:"|2F|"; http_uri; pcre:"/\r\nHost\x3A\s+[^\r\n]*?[bcdfghjklmnpqrstvwxyz]{5;}[^\r\n]*?\x2Ebiz\r\n/Hi"; content:!"|0A|Referer|3A|"; http_header; content:!"|0A|Cookie|3A|"; http_header; content:"|3B 20|MSIE|20|7.0|3B 20|"; http_header; content:"|2E|biz|0D 0A|"; fast_pattern; nocase; http_header; ),classtype:RAT;,id:40019291;,rev:1;,metadata:impact_flag red; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,any,Trojan[DDoS]/Windows.emotet1,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191008,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['DDoS'],10367377,[],None,None,id:10367377;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Windows.emotet2,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191008,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['DDoS'],10367379,[],None,None,id:10367379;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Windows.emotet3,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191008,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['DDoS'],10367381,[],None,None,id:10367381;,rev:1;,
alert,tcp,any,any,any,any,Trojan[DDoS]/Windows.emotet4,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191008,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['DDoS'],10367383,[],None,None,id:10367383;,rev:1;,
alert,tcp,any,any,any,any,Trojan[APT]/Win32.APT_Bitter,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191030,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['APT'],100372809,[],None,None,id:100372809;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Backdoor_Joomla,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191030,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['Backdoor'],190372811,[],None,None,id:190372811;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Joomla.,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191031,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['Backdoor'],190372813,[],None,None,id:190372813;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.11882word.,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191031,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['Backdoor'],190372815,[],None,None,id:190372815;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Thinkcmf.,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191031,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['Backdoor'],190372817,[],None,None,id:190372817;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Magecart,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191031,{'Source': 'Victim'; 'Obj': 'Attacker'},,,HighRisk,['Backdoor'],190372819,[],None,None,id:190372819;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Linux.Kibana.,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191101,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190372857,[],None,None,id:190372857;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Linux.Kibana.,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191101,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190372859,[],None,None,id:190372859;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Apache_Solr,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191101,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190372861,[],None,None,id:190372861;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Lniux.D-Link,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191104,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190373883,[],None,None,id:190373883;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.Mongodb,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191101,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190373885,[],None,None,id:190373885;,rev:1;,
alert,tcp,any,any,any,any,Trojan[Backdoor]/Win32.CVE-2019-11043,['OnlineBehavior'],OpenHeart,ArtificialExtraction,lx,Threat,Control,,20191105,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Backdoor'],190373887,[],None,None,id:190373887;,rev:1;,
#alert,tcp,None,None,tcp,$HOME_NET,,['PortScan'],ET SCAN Behavioral Unusual Port 445 traffic Potential Scan or Infection,ArtificialExtraction,suricata,Threat,Prepare,,20170511,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102001569,[],flow:to_server; flags: S;12; threshold: type both; track by_src; count 70; seconds 60;),classtype:Scan;,id:102001569;,rev:15;,metadata: former_category SCAN;metadata:created_at 2010_07_30; updated_at 2017_05_11;
#alert,udp,None,None,udp,$EXTERNAL_NET,,['PortScan'],ET SCAN Nessus Netbios Scanning,ArtificialExtraction,suricata,Threat,Prepare,,20121001,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102015754,[],content:"n|00|e|00|s|00|s|00|u|00|s"; fast_pattern:only; reference:url;www.tenable.com/products/nessus/nessus-product-overview; classtype:Scan; sid:102015754; rev:2;),classtype:Scan;,id:102015754;,rev:2;,metadata:created_at 2012_10_01; updated_at 2012_10_01;
#alert,tcp,None,None,tcp,$EXTERNAL_NET,,['PortScan'],ET SCAN DCERPC rpcmgmt ifids Unauthenticated BIND,ArtificialExtraction,suricata,Threat,Prepare,,20100730,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102009832,[],flow:established;to_server; content:"|05|"; content:"|80 bd a8 af 8a 7d c9 11 be f4 08 00 2b 10 29 89|"; distance:31; reference:url;www.symantec.com/avcenter/reference/Vista_Network_Attack_Surface_RTM.pdf; reference:url;www.blackhat.com/presentations/win-usa-04/bh-win-04-seki-up2.pdf; reference:url;seclists.org/fulldisclosure/2003/Aug/0432.html; reference:url;doc.emergingthreats.net/2009832; classtype:Scan; sid:102009832; rev:3;),classtype:Scan;,id:102009832;,rev:3;,metadata:created_at 2010_07_30; updated_at 2010_07_30;
#alert,tcp,None,None,tcp,$HOME_NET,,['PortScan'],ET SCAN Behavioral Unusual Port 1433 traffic Potential Scan or Infection,ArtificialExtraction,suricata,Threat,Prepare,,20170511,{'Source': 'Attacker'; 'Obj': 'Victim'},,,IntermediateRisk,['Scan'],102001583,[],flow:to_server; flags: S;12; threshold: type both; track by_src; count 40 ; seconds 60;),classtype:Scan;,id:102001583;,rev:16;,metadata: former_category SCAN;metadata:created_at 2010_07_30; updated_at 2017_05_11;
#alert,tcp,None,None,tcp,any,,['PortScan'],GPL SQL sa brute force failed login unicode attempt,ArtificialExtraction,suricata,Threat,Prepare,,20100923,{'Source': 'Victim'; 'Obj': 'Attacker'},,,IntermediateRisk,['Scan'],102103273,[],flow:from_server;established; content:"L|00|o|00|g|00|i|00|n|00| |00|f|00|a|00|i|00|l|00|e|00|d|00| |00|f|00|o|00|r|00| |00|u|00|s|00|e|00|r|00| |00|'|00|s|00|a|00|'|00|"; threshold:type threshold; track by_src; count 5; seconds 2; reference:bugtraq;4797; reference:cve;2000-1209; reference:nessus;10673; classtype:Scan; sid:102103273; rev:4;),classtype:Scan;,id:102103273;,rev:4;,metadata:created_at 2010_09_23; updated_at 2010_09_23;
#alert,tcp,None,None,tcp,any,Unknown,['BruteForce23'],可疑的 telnet 暴力破解,ArtificialExtraction,DC,Threat,Invasion,,20190520,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2015987,[],None,classtype:Exploits;,id:2015987;,rev:5;,
#alert,tcp,None,None,tcp,any,Unknown,['VulnerabilityIntrusion'],445 port crash attack,ArtificialExtraction,DC,Threat,Invasion,,20190327,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2015986,[],None,classtype:Exploits;,id:2015986;,rev:5;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],WikiWebHelp_0.28 SQL Injection,ArtificialExtraction,DC,Threat,Invasion,,20190413,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2019041301,[],None,classtype:Exploits;,id:2019041301;,rev:1;,
#alert,tcp,None,None,tcp,any,Unknown,['VulnerabilityIntrusion'],WAGO_750_881_01.09.18 Cross Site Scripting,ArtificialExtraction,DC,Threat,Invasion,,20190413,{'Source': 'Attacker'; 'Obj': 'Victim'},,,HighRisk,['Exploits'],2019041302,[],None,classtype:Exploits;,id:2019041302;,rev:1;,
#alert,tcp,None,None,tcp,any,Unknown,['AccessC2'],test ghost,ArtificialExtraction,DC,Threat,Control,,20190327,{'Source': 'Attacker'; 'Obj': 'Victim'},ghost,,HighRisk,['RAT'],2019032701,[],None,classtype:RAT;,id:2019032701;,rev:1;,
alert,dns,any,any,any,any,Unknown,['AccessC2'],,Unknown,dengcong,Threat,,,20190604,{'Source': 'Victim'; 'Obj': 'Unknown'},,,IntermediateRisk,['Worm'],220019295,['52a3ea5c23e41dd3ae83f0d8d0ab450c'],None,classtype:Worm;,id:220019295;,rev:1;,
alert,dns,any,any,any,any,Unknown,['AccessC2'],,Unknown,dengcong,Threat,,,20190604,{'Source': 'Victim'; 'Obj': 'Unknown'},,,IntermediateRisk,['Worm'],220019297,['52a3ea5c23e41dd3ae83f0d8d0ab450c'],None,classtype:Worm;,id:220019297;,rev:1;,
alert,http,any,any,any,any,Unknown,['WebShellBackdoorCommunication'],ET ATTACK_RESPONSE r57 phpshell footer detected,ArtificialExtraction,,Threat,Invasion,,20190327,{'Source': 'Victim'; 'Obj': 'Unknown'},,,HighRisk,['Exploits'],2003535,[],flow:established;from_server; content:"r57shell - http-shell by RST/GHC"; reference:url;www.pestpatrol.com/spywarecenter/pest.aspx?id=453096755; reference:url;doc.emergingthreats.net/bin/view/Main/2003535; classtype:Exploits; sid:2003535; rev:7;),classtype:Exploits;,id:2003535;,rev:7;,metadata:created_at 2010_07_30; updated_at 2010_07_30;
alert,http,any,any,any,any,Unknown,['CrossSiteScripting'],ET WEB_SPECIFIC_APPS Apache Tomcat Sort Parameter Cross Site Scripting Attempt,ArtificialExtraction,,Threat,Control,,20100730,{'Source': 'Victim'; 'Obj': 'Unknown'},,,HighRisk,['Exploits'],2013117,[],classtype:Exploits; sid:2013117; flow:established;to_server; content:"/sessions?path="; nocase; http_uri; content:"sort="; nocase; http_uri; pcre:"/sort\x3D.+(alert|script|onmouse|onkey|onload|onunload|ondragdrop|onblur|onfocus|onclick|ondblclick|onsubmit|onreset|onselect|onchange|style\x3D)/Ui";),classtype:Exploits;,id:2013117;,rev:4;,metadata: former_category WEB_SPECIFIC_APPS;metadata:affected_product Web_Server_Applications; attack_target Web_Server; deployment Datacenter; tag XSS; tag Cross_Site_Scripting; signature_severity Major; created_at 2011_06_24; updated_at 2017_05_08;
alert,dns,any,any,any,any,Unknown,['OnlineBehavior'],WannaCry勒索病毒,ArtificialExtraction,,Threat,Control,,20190408,{'Source': 'Victim'; 'Obj': 'Unknown'},,,HighRisk,['Ransomware'],190000001,[],None,classtype:Ransomware;,id:190000001;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],ikvision IP Camera 5.4.0 - 用户枚举,ArtificialExtraction,WQ,Suspicion,Intention,,20180823,{'Obj': 'Victim'; 'Source': 'Attacker'},ikvision IP Camera 5.4.0 - 用户枚举,CVE-2017-7921,IntermediateRisk,['Exploits'],130017073,[],None,classtype:Exploits;,id:130017073;,rev:1;,
alert,http,any,any,any,any,Unknown,['VulnerabilityIntrusion'],ikvision IP Camera 5.4.0 - 用户枚举,ArtificialExtraction,WQ,Suspicion,Intention,,20180823,{'Obj': 'Victim'; 'Source': 'Attacker'},hikvision IP Camera 5.4.0 - 用户枚举,CVE-2017-7921,IntermediateRisk,['Exploits'],130017075,[],None,classtype:Exploits;,id:130017075;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],OpenEMR <5.0.1 远程命令执行漏洞,ArtificialExtraction,WQ,Threat,Invasion,,20180815,{'Obj': 'Victim'; 'Source': 'Attacker'},OpenEMR <5.0.1 远程命令执行漏洞,CVE-2018-1000019,HighRisk,['Exploits'],130017077,[],None,classtype:Exploits;,id:130017077;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],Modx Revolution CMS <=2.6.4 远程命令执行漏洞,ArtificialExtraction,WQ,Threat,Intention,,20180808,{'Obj': 'Victim'; 'Source': 'Attacker'},Modx Revolution CMS <=2.6.4 远程命令执行漏洞,CVE-2018-1000207,HighRisk,['Exploits'],130017079,[],None,classtype:Exploits;,id:130017079;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],SERVER-WEBAPP Gitea command execute attempt,ArtificialExtraction,WQ,Threat,Intention,,20180731,{'Obj': 'Victim'; 'Source': 'Attacker'},SERVER-WEBAPP Gitea command execute attempt,,HighRisk,['Exploits'],130017081,[],None,classtype:Exploits;,id:130017081;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],Metinfo 6.0.0 任意文件上传漏洞,ArtificialExtraction,WQ,Threat,Intention,,20180801,{'Obj': 'Victim'; 'Source': 'Attacker'},Metinfo 6.0.0 任意文件上传漏洞,,IntermediateRisk,['Exploits'],130017085,[],None,classtype:Exploits;,id:130017085;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],WebLogic CVE-2018-2894 upload files attempt,ArtificialExtraction,WQ,Threat,Invasion,,20180726,{'Obj': 'Victim'; 'Source': 'Attacker'},WebLogic CVE-2018-2894 upload files attempt,CVE-2018-2894,HighRisk,['Exploits'],130017087,[''],None,classtype:Exploits;,id:130017087;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],WebLogic deserialization CVE-2018-2893 remote command execution attempt,ArtificialExtraction,WQ,Threat,Invasion,,20180724,{'Obj': 'Victim'; 'Source': 'Attacker'},WebLogic deserialization CVE-2018-2893 remote command execution attempt,CVE-2018-2893,HighRisk,['Exploits'],130017089,[''],None,classtype:Exploits;,id:130017089;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],Mikrotik Winbox Arbitrary File Read,ArtificialExtraction,WQ,Threat,Intention,,20180711,{'Obj': 'Victim'; 'Source': 'Attacker'},Mikrotik Winbox Arbitrary File Read,CVE-2018-14847,IntermediateRisk,['Exploits'],130017095,[''],None,classtype:Exploits;,id:130017095;,rev:1;,
alert,tcp,any,any,any,any,Unknown,['VulnerabilityIntrusion'],Gaining RCE by abusing Node-RED,ArtificialExtraction,WQ,Threat,Invasion,,20180926,{'Obj': 'Victim'; 'Source': 'Attacker'},Gaining RCE by abusing Node-RED,,HighRisk,['Exploits'],130017111,[],None,classtype:Exploits;,id:130017111;,rev:1;,
alert,tcp,any,any,None,<>,Unknown,['VulnerabilityIntrusion'],CVE-2010-0619,ArtificialExtraction,DENGCONG,Threat,Invasion,,20180123,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2010-0619,HighRisk,['Exploits'],130017197,[],None,classtype:Exploits;,id:130017197;,rev:1;,
alert,tcp,any,any,None,<>,Unknown,['VulnerabilityIntrusion'],CVE-2013-2678,ArtificialExtraction,YANGSAI,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2013-2678,HighRisk,['Exploits'],130017199,[],None,classtype:Exploits;,id:130017199;,rev:1;,
alert,tcp,any,any,None,<>,Unknown,['VulnerabilityIntrusion'],CVE-2014-9727,ArtificialExtraction,YANGSAI,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-9727,HighRisk,['Exploits'],130017203,[],None,classtype:Exploits;,id:130017203;,rev:1;,
alert,tcp,any,any,any,20005,Unknown,['VulnerabilityIntrusion'],CVE-2015-3036,ArtificialExtraction,DENGCONG,Threat,,,20171225,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2015-3036,HighRisk,['Exploits'],130017205,[],None,classtype:Exploits;,id:130017205;,rev:1;,
